"#12 V motor (1) Z axis On the table, run at 12 V, using tape",
Time - Voltage - Voltage,Amplitude - Voltage - Voltage
0,1.395
0.000667,1.403
0.001333,1.4
0.002,1.395
0.002667,1.406
0.003333,1.398
0.004,1.393
0.004667,1.393
0.005333,1.408
0.006,1.38
0.006667,1.385
0.007333,1.411
0.008,1.398
0.008667,1.385
0.009333,1.388
0.01,1.406
0.010667,1.403
0.011333,1.385
0.012,1.406
0.012667,1.39
0.013333,1.395
0.014,1.406
0.014667,1.385
0.015333,1.395
0.016,1.395
0.016667,1.393
0.017333,1.395
0.018,1.398
0.018667,1.39
0.019333,1.383
0.02,1.398
0.020667,1.395
0.021333,1.388
0.022,1.39
0.022667,1.406
0.023333,1.39
0.024,1.385
0.024667,1.406
0.025333,1.398
0.026,1.393
0.026667,1.403
0.027333,1.393
0.028,1.39
0.028667,1.395
0.029333,1.395
0.03,1.39
0.030667,1.393
0.031333,1.403
0.032,1.393
0.032667,1.393
0.033333,1.388
0.034,1.398
0.034667,1.395
0.035333,1.395
0.036,1.4
0.036667,1.39
0.037333,1.398
0.038,1.388
0.038667,1.383
0.039333,1.395
0.04,1.403
0.040667,1.393
0.041333,1.395
0.042,1.403
0.042667,1.398
0.043333,1.383
0.044,1.39
0.044667,1.398
0.045333,1.385
0.046,1.398
0.046667,1.398
0.047333,1.393
0.048,1.385
0.048667,1.406
0.049333,1.398
0.05,1.398
0.050667,1.388
0.051333,1.393
0.052,1.395
0.052667,1.388
0.053333,1.406
0.054,1.395
0.054667,1.393
0.055333,1.395
0.056,1.4
0.056667,1.395
0.057333,1.395
0.058,1.406
0.058667,1.395
0.059333,1.388
0.06,1.4
0.060667,1.393
0.061333,1.39
0.062,1.398
0.062667,1.408
0.063333,1.398
0.064,1.39
0.064667,1.395
0.065333,1.406
0.066,1.388
0.066667,1.395
0.067333,1.395
0.068,1.395
0.068667,1.395
0.069333,1.385
0.07,1.395
0.070667,1.388
0.071333,1.395
0.072,1.4
0.072667,1.393
0.073333,1.39
0.074,1.406
0.074667,1.385
0.075333,1.38
0.076,1.39
0.076667,1.395
0.077333,1.393
0.078,1.38
0.078667,1.398
0.079333,1.398
0.08,1.388
0.080667,1.395
0.081333,1.398
0.082,1.39
0.082667,1.39
0.083333,1.395
0.084,1.4
0.084667,1.393
0.085333,1.406
0.086,1.38
0.086667,1.395
0.087333,1.39
0.088,1.388
0.088667,1.395
0.089333,1.406
0.09,1.385
0.090667,1.385
0.091333,1.388
0.092,1.4
0.092667,1.406
0.093333,1.383
0.094,1.398
0.094667,1.398
0.095333,1.395
0.096,1.393
0.096667,1.398
0.097333,1.39
0.098,1.38
0.098667,1.388
0.099333,1.4
0.1,1.385
0.100667,1.393
0.101333,1.408
0.102,1.393
0.102667,1.39
0.103333,1.398
0.104,1.406
0.104667,1.388
0.105333,1.385
0.106,1.395
0.106667,1.39
0.107333,1.39
0.108,1.395
0.108667,1.393
0.109333,1.375
0.11,1.393
0.110667,1.393
0.111333,1.393
0.112,1.385
0.112667,1.4
0.113333,1.383
0.114,1.403
0.114667,1.398
0.115333,1.395
0.116,1.398
0.116667,1.408
0.117333,1.388
0.118,1.39
0.118667,1.395
0.119333,1.4
0.12,1.388
0.120667,1.393
0.121333,1.4
0.122,1.39
0.122667,1.385
0.123333,1.406
0.124,1.39
0.124667,1.39
0.125333,1.39
0.126,1.406
0.126667,1.393
0.127333,1.395
0.128,1.403
0.128667,1.393
0.129333,1.383
0.13,1.39
0.130667,1.403
0.131333,1.385
0.132,1.393
0.132667,1.385
0.133333,1.388
