"#12V motor run at 12V, 60 seconds, x axis",
Time - Voltage - Voltage_0,Amplitude - Voltage - Voltage_0
0,3.222m
0.000333,3.222m
0.000667,5.769m
0.001,5.769m
0.001333,3.222m
0.001667,675.1u
0.002,3.222m
0.002333,675.1u
0.002667,1.949m
0.003,3.222m
0.003333,1.949m
0.003667,1.949m
0.004,-1.872m
0.004333,-3.146m
0.004667,-1.872m
0.005,-1.872m
0.005333,1.949m
0.005667,1.949m
0.006,-1.872m
0.006333,-4.419m
0.006667,-4.419m
0.007,-598.5u
0.007333,-598.5u
0.007667,3.222m
0.008,3.222m
0.008333,675.1u
0.008667,-1.872m
0.009,-3.146m
0.009333,-4.419m
0.009667,-6.966m
0.01,-598.5u
0.010333,-1.872m
0.010667,-598.5u
0.011,3.222m
0.011333,-4.419m
0.011667,-3.146m
0.012,-1.872m
0.012333,-1.872m
0.012667,3.222m
0.013,3.222m
0.013333,675.1u
0.013667,675.1u
0.014,-598.5u
0.014333,675.1u
0.014667,3.222m
0.015,4.496m
0.015333,4.496m
0.015667,3.222m
0.016,1.949m
0.016333,1.949m
0.016667,4.496m
0.017,3.222m
0.017333,4.496m
0.017667,4.496m
0.018,1.949m
0.018333,-3.146m
0.018667,-3.146m
0.019,675.1u
0.019333,-598.5u
0.019667,1.949m
0.02,-598.5u
0.020333,-1.872m
0.020667,-3.146m
0.021,-598.5u
0.021333,-598.5u
0.021667,1.949m
0.022,-598.5u
0.022333,-1.872m
0.022667,-5.693m
0.023,-3.146m
0.023333,-598.5u
0.023667,-3.146m
0.024,675.1u
0.024333,-1.872m
0.024667,-4.419m
0.025,-5.693m
0.025333,-3.146m
0.025667,-3.146m
0.026,-598.5u
0.026333,-1.872m
0.026667,-3.146m
0.027,-4.419m
0.027333,-6.966m
0.027667,-1.872m
0.028,675.1u
0.028333,3.222m
0.028667,675.1u
0.029,1.949m
0.029333,675.1u
0.029667,675.1u
0.03,4.496m
0.030333,3.222m
0.030667,5.769m
0.031,7.043m
0.031333,675.1u
0.031667,-1.872m
0.032,4.496m
0.032333,3.222m
0.032667,5.769m
0.033,3.222m
0.033333,3.222m
0.033667,1.949m
0.034,-598.5u
0.034333,-3.146m
0.034667,1.949m
0.035,675.1u
0.035333,3.222m
0.035667,3.222m
0.036,675.1u
0.036333,675.1u
0.036667,-598.5u
0.037,675.1u
0.037333,1.949m
0.037667,675.1u
0.038,-1.872m
0.038333,675.1u
0.038667,-3.146m
0.039,-1.872m
0.039333,-3.146m
0.039667,1.949m
0.04,675.1u
0.040333,-3.146m
0.040667,-3.146m
0.041,-5.693m
0.041333,-6.966m
0.041667,-1.872m
0.042,-1.872m
0.042333,675.1u
0.042667,-598.5u
0.043,675.1u
0.043333,-1.872m
0.043667,-3.146m
0.044,-3.146m
0.044333,1.949m
0.044667,1.949m
0.045,5.769m
0.045333,3.222m
0.045667,3.222m
0.046,-598.5u
0.046333,675.1u
0.046667,3.222m
0.047,3.222m
0.047333,7.043m
0.047667,5.769m
0.048,3.222m
0.048333,-1.872m
0.048667,675.1u
0.049,675.1u
0.049333,1.949m
0.049667,4.496m
0.05,675.1u
0.050333,1.949m
0.050667,-1.872m
0.051,1.949m
0.051333,675.1u
0.051667,1.949m
0.052,1.949m
0.052333,-598.5u
0.052667,-598.5u
0.053,-4.419m
0.053333,-3.146m
0.053667,-1.872m
0.054,-598.5u
0.054333,1.949m
0.054667,675.1u
0.055,-1.872m
0.055333,-1.872m
0.055667,-3.146m
0.056,-1.872m
0.056333,-598.5u
0.056667,1.949m
0.057,-1.872m
0.057333,-1.872m
0.057667,-4.419m
0.058,-5.693m
0.058333,-598.5u
0.058667,1.949m
0.059,675.1u
0.059333,675.1u
0.059667,-3.146m
0.06,-1.872m
0.060333,1.949m
0.060667,3.222m
0.061,3.222m
0.061333,3.222m
0.061667,3.222m
0.062,3.222m
0.062333,675.1u
0.062667,675.1u
0.063,3.222m
0.063333,5.769m
0.063667,4.496m
